titulo;empresa;pais;ciudad_limpia;ubicacion_raw;salario_medio_ppp_2024;indice_coste_vida_2024;indice_alquiler_2024;salario_real_ajustado;modalidad;es_teletrabajo;desc_longitud;url
Data Analyst;Agile Consulting Group, Inc.;US;Norcross;Norcross, GA;82932.937;72.9;43.1;113762.6;Presencial;False;54;https://www.indeed.com/viewjob?jk=b99ce7bf9d363590
Data Analyst;Cervello Global Corporation;US;Quantico;Quantico, VA 22134;82932.937;72.9;43.1;113762.6;Presencial;False;59;https://www.indeed.com/viewjob?jk=32028f7f00eda875
Data Analyst;AKS Engineering & Forestry;US;Tualatin;Tualatin, OR 97062;82932.937;72.9;43.1;113762.6;Presencial;False;58;https://www.indeed.com/viewjob?jk=75519f9453891d90
Data Analyst;SOFT, Inc.;US;Newark;"Newark, NJ 07102 
(Central Business District area)";82932.937;72.9;43.1;113762.6;Presencial;False;74;https://www.indeed.com/viewjob?jk=7973c43b37cd2371
Data Analyst;Goodwill Industries Of Central Florida Inc;US;Orlando;"Orlando, FL 32803 
(Colonial Town Center area)";82932.937;72.9;43.1;113762.6;Presencial;False;129;https://www.indeed.com/viewjob?jk=16c40592e8472027
Data Analyst II;Pekin Insurance;US;Pekin;Pekin, IL 61554;82932.937;72.9;43.1;113762.6;Presencial;False;47;https://www.indeed.com/viewjob?jk=ae1496e07a2f4fb0
Data Analyst;One to One Health;US;Chattanooga;"Chattanooga, TN 37402 
(City Center/Downtown area)";82932.937;72.9;43.1;113762.6;Presencial;False;81;https://www.indeed.com/viewjob?jk=b7dbeb15e6ee86c0
Data Analyst;New England Cancer Specialists;US;Westbrook;Westbrook, ME 04092;82932.937;72.9;43.1;113762.6;Presencial;False;90;https://www.indeed.com/viewjob?jk=197d9af03451a2ab
Data Analyst;Ascent360;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;29;https://www.indeed.com/viewjob?jk=89653d7e9624c29e
Data Analyst II;Allagash Brewing;US;Portland;"Portland, ME 04103 
(Riverton area)";82932.937;72.9;43.1;113762.6;Presencial;False;68;https://www.indeed.com/viewjob?jk=de07ac2ad8f67e78
Associate Data Analyst;Internet Brands;US;El Segundo;El Segundo, CA;82932.937;72.9;43.1;113762.6;Presencial;False;53;https://www.indeed.com/viewjob?jk=8eb7a475799b19a3
Advanced Analytics - Data and Analytics Business Analyst;Children's Medical Center;US;Dallas;Dallas, TX;82932.937;72.9;43.1;113762.6;Presencial;False;93;https://www.indeed.com/viewjob?jk=49301f156415a975
Data Analyst;GoodApple;US;New York;New York, NY;82932.937;72.9;43.1;113762.6;Presencial;False;35;https://www.indeed.com/viewjob?jk=2233e7ae15e45957
Analyst, Data Analytics;PayPal;US;Chicago;Chicago, IL;82932.937;72.9;43.1;113762.6;Presencial;False;42;https://www.indeed.com/viewjob?jk=df75cf324c33d0f3
Mid-Level Data Analyst;NetImpact Strategies;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;50;https://www.indeed.com/viewjob?jk=80818c98adacd649
Enrollment Data Analyst;American Fidelity Assurance;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;58;https://www.indeed.com/viewjob?jk=b3f74492f452a751
Health Data Analyst;Insight;US;Chicago;"Chicago, IL 60616 
(Bronzeville area)";82932.937;72.9;43.1;113762.6;Presencial;False;65;https://www.indeed.com/viewjob?jk=0fc284c409027994
Data Analyst;TriWest Healthcare Alliance;US;Phoenix;Phoenix, AZ;82932.937;72.9;43.1;113762.6;Presencial;False;52;https://www.indeed.com/viewjob?jk=d64985a5a9dbee69
Data Analyst;Conway Regional Heath System;US;Conway;Conway, AR 72034;82932.937;72.9;43.1;113762.6;Presencial;False;58;https://www.indeed.com/viewjob?jk=fe39ae02cced6a9a
Data Analyst;Relation Insurance Services;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;47;https://www.indeed.com/viewjob?jk=c9195dcc53f1e1e9
Sin Título;;US;Desconocido;;82932.937;72.9;43.1;113762.6;Presencial;False;0;https://www.indeed.com/viewjob?jk=a1b2c3d4e5f67890
Culture Data Analyst;YES Prep Public Schools;US;Houston;"Houston, TX 77033 
(Ost - South Union area)";82932.937;72.9;43.1;113762.6;Presencial;False;88;https://www.indeed.com/viewjob?jk=5dfcef0d820ed244
Data Analyst & Application Specialist;MajorKey;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;53;https://www.indeed.com/viewjob?jk=bccb96c284d0e7fa
Data Analyst, Supply Chain;Checkr;US;Denver;Denver, CO;82932.937;72.9;43.1;113762.6;Presencial;False;44;https://www.indeed.com/viewjob?jk=d86afdc3c90be49a
Data Analyst 2;Primerica;US;Duluth;Duluth, GA 30099;82932.937;72.9;43.1;113762.6;Presencial;False;41;https://www.indeed.com/viewjob?jk=19a1abae41173581
Data Analyst II;Consumers Energy;US;Jackson;Jackson, MI;82932.937;72.9;43.1;113762.6;Presencial;False;44;https://www.indeed.com/viewjob?jk=12cdd27525a67e3e
Technical Data Analyst;Arkatechture;US;Portland;Portland, ME;82932.937;72.9;43.1;113762.6;Presencial;False;48;https://www.indeed.com/viewjob?jk=106aa441bc4cd47c
Technical Analyst II 2025-02055;State of Wyoming;US;Cheyenne;Cheyenne, WY;82932.937;72.9;43.1;113762.6;Presencial;False;61;https://www.indeed.com/viewjob?jk=773da2d46e446a35
Senior Analyst - Systems, Data & Analytics;Stevens Institute of Technology;US;Hoboken;Hoboken, NJ;82932.937;72.9;43.1;113762.6;Presencial;False;86;https://www.indeed.com/viewjob?jk=6be66ad4803cc482
Data Analyst;Alabama Credit Union;US;Tuscaloosa;"Tuscaloosa, AL 35401 
(University area)";82932.937;72.9;43.1;113762.6;Presencial;False;73;https://www.indeed.com/viewjob?jk=95354509d7f03664
Lead Business Analyst ( Hybrid- NYC);Broadridge;US;New York;"New York, NY 10001 
(Garment District area)";82932.937;72.9;43.1;113762.6;Presencial;False;91;https://www.indeed.com/viewjob?jk=f9b7d56b40528788
Business Intelligence Reporting Analyst;The Forge Companies;US;Mooresville;Mooresville, NC 28117;82932.937;72.9;43.1;113762.6;Presencial;False;81;https://www.indeed.com/viewjob?jk=cf50af165d97b001
Business Analyst Talent Community;NYSTEC;US;Albany;Albany, NY 12207;82932.937;72.9;43.1;113762.6;Presencial;False;57;https://www.indeed.com/viewjob?jk=d08ef0b8c9418e56
Data Analyst;Lockton, Inc.;US;Kansas City;"Kansas City, MO 64112 
(Country Club Plaza area)";82932.937;72.9;43.1;113762.6;Presencial;False;75;https://www.indeed.com/viewjob?jk=a85e65587ff2fbe9
Lead Technical Analyst, Private Markets;Russell Investments;US;Seattle;"Seattle, WA 98101 
(Downtown area)";82932.937;72.9;43.1;113762.6;Presencial;False;94;https://www.indeed.com/viewjob?jk=680395cc80844e2f
Business Analyst;InTulsa Initiative LLC;US;Tulsa;"Tulsa, OK 74103 
(Downtown area)";82932.937;72.9;43.1;113762.6;Presencial;False;72;https://www.indeed.com/viewjob?jk=eaa3269f6364e5d5
Product Analyst II;Availity, LLC.;US;;Remote;82932.937;72.9;43.1;113762.6;Remoto/Híbrido;True;40;https://www.indeed.com/viewjob?jk=1483c43a7e9d631a
Call Center Data Analyst;Antech Diagnostics;US;Lake Success;Lake Success, NY 11042;82932.937;72.9;43.1;113762.6;Presencial;False;66;https://www.indeed.com/viewjob?jk=809ccc32298a2d0e
Client Advisory Analyst;Convey Health Solutions;US;Fort Lauderdale;"Fort Lauderdale, FL 33394 
(Downtown area)";82932.937;72.9;43.1;113762.6;Presencial;False;90;https://www.indeed.com/viewjob?jk=6d6c8081b02d23c9
Data and Business Analyst;Illinois Institute of Technology;US;Chicago;"Chicago, IL 60616 
(Bronzeville area)";82932.937;72.9;43.1;113762.6;Presencial;False;96;https://www.indeed.com/viewjob?jk=f23e273aa3c57f8a
MANAGEMENT ANALYST;Los Angeles County Department of Human Resources;US;Los Angeles County;Los Angeles County, CA;82932.937;72.9;43.1;113762.6;Presencial;False;90;https://www.indeed.com/viewjob?jk=0a520fbcd228aac3
Business Intelligence Analyst;Sajix;US;Pleasanton;Pleasanton, CA 94566;82932.937;72.9;43.1;113762.6;Presencial;False;56;https://www.indeed.com/viewjob?jk=5ef972ea3ffac3c1
LFI Senior Business Analyst;Western Alliance Bank;US;Phoenix;"Phoenix, AZ 
(Central City area)";82932.937;72.9;43.1;113762.6;Presencial;False;82;https://www.indeed.com/viewjob?jk=1e0539ef8aedee12
Business Analyst;Institute for Building Technology and Safety;US;Baton Rouge;Baton Rouge, LA 70816;82932.937;72.9;43.1;113762.6;Presencial;False;83;https://www.indeed.com/viewjob?jk=9d86687e0dac7b18
Business Intelligence Analyst;E.R. Snell Contractor, Inc.;US;Snellville;Snellville, GA;82932.937;72.9;43.1;113762.6;Presencial;False;72;https://www.indeed.com/viewjob?jk=3828f87e537347e1
Data Analyst;Bloomberg BNA;US;Arlington;"Arlington, VA 22202 
(Aurora Highlands area)";82932.937;72.9;43.1;113762.6;Presencial;False;71;https://www.indeed.com/viewjob?jk=50bb208fb09b7ccb
Product Analyst;LevelEleven;US;Detroit;Detroit, MI;82932.937;72.9;43.1;113762.6;Presencial;False;39;https://www.indeed.com/viewjob?jk=d09db62f3af0c1e8
Business Analyst II;Berkley;US;Irving;"Irving, TX 75039 
(Las Colinas Urban Center area)";82932.937;72.9;43.1;113762.6;Presencial;False;77;https://www.indeed.com/viewjob?jk=49c538d727326d71
